party,46,47,48,49,50,51
AdG,1.0,1.0,0.0,0.0,0.0,0.0
AdI,1.0,0.0,0.0,0.0,0.0,0.0
Al,0.0,1.0,1.0,0.0,0.0,1.0
BastA,0.0,0.0,0.0,0.0,1.0,1.0
CSPO,0.0,0.0,0.0,0.0,0.62,0.0
DS,1.0,1.0,0.0,0.0,0.0,0.0
EàG,0.0,0.0,0.0,0.0,0.0,1.0
GB,0.0,1.0,1.0,0.0,0.0,0.0
Lega,2.0,1.0,1.0,2.0,2.0,1.0
M-E,35.64,29.64,33.7,37.0,33.26,28.0
MCG,0.0,0.0,0.0,1.0,1.0,0.0
PCS,1.0,1.0,1.0,0.0,0.0,0.0
PEV,3.0,3.0,2.0,2.0,2.0,3.0
PLD,0.42,0.0,0.0,0.0,1.0,1.0
PLR,47.58,39.94,35.0,29.89,32.0,27.94
PSS,51.0,52.0,42.3,46.0,43.0,39.0
PVL,0.0,1.0,3.0,12.0,7.0,16.0
PdT,2.0,2.0,1.0,0.0,1.0,1.0
UDC,43.0,53.18,60.0,53.94,65.0,53.0
UDF,1.0,2.0,1.0,0.0,0.0,1.0
VERT,9.0,11.0,18.0,15.0,10.0,26.0
csp-ow,0.0,0.0,0.0,1.0,1.0,0.0
