,topic_idx,topic_score,manual_check,topic_words,transcript_words
120,2,0.127,1,entreprise - prix - impôt - marché - produit - convention - douane - consommateur - banque - concurrence,"['taux', 'produit', 'régulation', 'médecin', 'consommation', 'marché', 'mise', 'problème']"
126,0,1,1,santé - assurance - coût - soin - prime - maladie - médicament - patient - système - pandémie,"['prohibition', 'étude', 'cannabis', 'affirmation', 'levée', 'discours', 'table', 'vente', 'autorisation', 'consommation']"
127,0,0.934,1,santé - assurance - coût - soin - prime - maladie - médicament - patient - système - pandémie,"['cannabis', 'écho', 'régulation', 'consommation', 'connaissance', 'étude', 'contrôle', 'résultat', 'sens']"
324,1,0.148,2,divergence - vote - transparence - solution - débat - discussion - négociation - raison - point - parti,"['adjonction', 'système', 'paiement', 'réalisation', 'chômage', 'phase', 'prestation', 'gestation', 'divergence', 'arrangement']"
563,0,0.057,1,santé - assurance - coût - soin - prime - maladie - médicament - patient - système - pandémie,"['donnée', 'assuré', 'protection', 'point', 'accès', 'élément', 'habitant', 'assureur', 'organe', 'garantie']"
848,2,0.356,1,entreprise - prix - impôt - marché - produit - convention - douane - consommateur - banque - concurrence,"['vélo', 'douane', 'exportation', 'suppression', 'soutien', 'industrie', 'relance', 'argent', 'entreprise', 'intermédiaire']"
1037,5,0.212,1,émission - biodiversité - produit - eau - co2 - objectif - pesticide - projet - contre - gaz,"['apiculture', 'pêche', 'race', 'abeille', 'contribution', 'faîtière', 'livre', 'épreuve', 'performance', 'conservation']"
1101,1,0.028,2,divergence - vote - transparence - solution - débat - discussion - négociation - raison - point - parti,"['islam', 'religion', 'femme', 'exception', 'homme', 'projet', 'contre', 'domination', 'comité', 'discussion']"
1241,4,0.02,1,enfant - femme - parent - accueil - violence - mariage - congé - égalité - couple - vie,"['discernement', 'parent', 'genre', 'mineur', 'capacité', 'enfant', 'identité', 'consentement', 'psychologue', 'papier']"
1492,2,1,0,entreprise - prix - impôt - marché - produit - convention - douane - consommateur - banque - concurrence,"['arrêté', 'capital', 'augmentation', 'interrogation', 'dollar', 'corruption', 'participation', 'banque', 'développement', 'intensification']"
