,topic_idx,topic_score,manual_check,topic_words,transcript_words
10,1,0.043,1,transparence - vote - divergence - surveillance - travail - point - information - négociation - membre - manière,"['tiret', 'paragraphe', 'immigration', 'législation', 'électeur', 'différend', 'processus', 'règlement', 'abstention', 'exécution']"
64,11,0.029,2,asile - donnée - requérant - réfugié - information - système - demande - séjour - étranger - intégration,"['note', 'information', 'tradition', 'publication', 'document', 'autorisation', 'principe', 'sujet', 'problème', 'travail']"
128,2,0.131,1,procédure - peine - code - juge - infraction - locataire - tribunal - justice - acte - crime,"['organe', 'convention', 'trafic', 'punissabilité', 'infraction', 'donneur', 'incrimination', 'étranger', 'avantage', 'consentement']"
184,16,0.203,1,formation - école - apprentissage - étudiant - stage - niveau - compétence - maturité - travail - enseignant,"['formation', 'soin', 'personnel', 'besoin', 'planification', 'but', 'débattron', 'transversalité', 'coût', 'salaire']"
189,2,0.298,0,procédure - peine - code - juge - infraction - locataire - tribunal - justice - acte - crime,"['liberté', 'assureur', 'infirmier', 'patient', 'service', 'soin', 'admission', 'régulation', 'étage', 'médecin']"
195,3,0.123,0,entreprise - prix - marché - produit - consommateur - douane - concurrence - tourisme - secteur - taxe,"['convoyeur', 'fonds', 'nuit', 'gangster', 'camionnette', 'blindé', 'journal', 'lit', 'tonne', 'attaque']"
276,0,0.133,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['prestation', 'montant', 'cohérent', 'dentiste', 'bout', 'besoin', 'redevance', 'chose', 'bénéficiaire', 'compte']"
338,5,1,1,animal - agriculture - production - vin - sucre - agriculteur - produit - exploitation - élevage - viande,"['céréale', 'production', 'secteur', 'fourragère', 'stock', 'surplus', 'statistique', 'orientation', 'tendance', 'pression']"
575,0,0.282,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['solidarité', 'santé', 'crise', 'coronavirus', 'personnel', 'environnement', 'urgence', 'maladie', 'allergie', 'plâtre']"
624,2,0.118,1,procédure - peine - code - juge - infraction - locataire - tribunal - justice - acte - crime,"['bail', 'sécurité', 'solution', 'avocat', 'négociation', 'tribunal', 'party', 'début', 'intervention', 'crise']"
687,3,1,1,entreprise - prix - marché - produit - consommateur - douane - concurrence - tourisme - secteur - taxe,"['crédit', 'annualité', 'loyer', 'partenaire', 'montant', 'tourisme', 'crise', 'bilan', 'concept', 'compromis']"
720,2,1,2,procédure - peine - code - juge - infraction - locataire - tribunal - justice - acte - crime,"['bail', 'loyer', 'fermier', 'ordonnance', 'extension', 'party', 'locataire', 'amiable', 'pesée', 'prolongation']"
804,9,0.071,1,travail - chômage - travailleur - convention - salaire - employeur - harcèlement - entreprise - ratification - emploi,"['dette', 'cap', 'composante', 'tissu', 'assurance', 'augmentation', 'volontier', 'pme', 'cotisation', 'chômage']"
847,0,0.352,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['assurance', 'épidémie', 'coût', 'participation', 'maladie', 'exemption', 'accident', 'base', 'travers', 'coronavirus']"
885,2,0.179,1,procédure - peine - code - juge - infraction - locataire - tribunal - justice - acte - crime,"['facture', 'assuré', 'abstention', 'obligation', 'profane', 'sanction', 'contrôle', 'vérification', 'amende', 'prestataire']"
916,12,0.237,1,énergie - électricité - installation - approvisionnement - production - prix - chauffage - marché - réseau - bâtiment,"['chauffage', 'isolation', 'renouvellement', 'accent', 'bâtiment', 'incitation', 'autorisation', 'forme', 'manière']"
951,4,0.468,1,enfant - femme - parent - accueil - mariage - congé - égalité - famille - travail - vie,"['enfant', 'mariage', 'couple', 'adoptif', 'parent', 'famille', 'sondage', 'sécurité', 'conjoint', 'progrès']"
1019,15,1,1,violence - terrorisme - sécurité - menace - organisation - victime - lutte - paix - terroriste - attaque,"['terrorisme', 'paix', 'organisation', 'respect', 'objet', 'ligne', 'voyage', 'texte', 'aiguille', 'faciès']"
1173,16,0.124,1,formation - école - apprentissage - étudiant - stage - niveau - compétence - maturité - travail - enseignant,"['formation', 'aide', 'autonomie', 'raison', 'personnel', 'revendication', 'parcours', 'pénurie', 'réserve', 'potestative']"
1178,0,0.335,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['maladie', 'assurance', 'condition', 'partenariat', 'endroit', 'essentiel', 'travail', 'paiement', 'financement', 'secteur']"
1605,3,1,1,entreprise - prix - marché - produit - consommateur - douane - concurrence - tourisme - secteur - taxe,"['monstre', 'richesse', 'pouvoir', 'humain', 'fortune', 'revenu', 'gain', 'productivité', 'main', 'concentration']"
1628,4,0.128,1,enfant - femme - parent - accueil - mariage - congé - égalité - famille - travail - vie,"['égalité', 'suite', 'femme', 'vigueur', 'fruit', 'contrôle', 'révision', 'juillet', 'but', 'décembre']"
1765,0,0.44,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['production', 'approvisionnement', 'capacité', 'vaccin', 'médicament', 'avancement', 'sécurité', 'usine', 'savoir', 'suivi']"
1768,1,0.067,1,transparence - vote - divergence - surveillance - travail - point - information - négociation - membre - manière,"['vigueur', 'base', 'analyse', 'questionnement', 'énormément', 'idée', 'révision', 'essentiel', 'thème', 'octobre']"
1853,19,0.118,1,loyer - logement - locataire - bail - cautionnement - bailleur - propriétaire - construction - intérêt - bâtiment,"['incertitude', 'loyer', 'restaurateur', 'vendeur', 'conseiller', 'ensemble', 'faillite', 'fermeture', 'bailleur']"
1947,4,0.182,1,enfant - femme - parent - accueil - mariage - congé - égalité - famille - travail - vie,"['enfance', 'enfant', 'exception', 'protection', 'prévoyance', 'fonds', 'éclatement', 'crédit', 'vulnérabilité', 'arbitrage']"
2063,2,0.131,1,procédure - peine - code - juge - infraction - locataire - tribunal - justice - acte - crime,"['procédure', 'comparution', 'célérité', 'exécution', 'terrain', 'justice', 'tôt', 'priorité', 'doute', 'hooligan']"
2185,19,1,1,loyer - logement - locataire - bail - cautionnement - bailleur - propriétaire - construction - intérêt - bâtiment,"['maître', 'ouvrage', 'logement', 'utilité', 'loyer', 'crédit', 'prix', 'construction', 'emprunt', 'outil']"
2194,2,0.059,0,procédure - peine - code - juge - infraction - locataire - tribunal - justice - acte - crime,"['port', 'hidjab', 'kippa', 'signe', 'islam', 'liberté', 'tête', 'élève', 'rang', 'minute']"
2229,3,0.365,0,entreprise - prix - marché - produit - consommateur - douane - concurrence - tourisme - secteur - taxe,"['impôt', 'revenu', 'redistribution', 'incitation', 'inconditionnel', 'mécanisme', 'système', 'réorganisation', 'assurance', 'aide']"
2237,0,0.08,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['difficulté', 'rythme', 'transmission', 'devoir', 'assureur', 'donnée', 'réalité', 'terme', 'lieu', 'problème']"
2300,14,0.196,1,transport - trafic - véhicule - vélo - vol - mobilité - infrastructure - marchandise - aviation - camion,"['wagon', 'transporteur', 'marchandise', 'accident', 'obligation', 'matériel', 'aiguillage', 'signal', 'citerne', 'freinage']"
2390,15,0.046,1,violence - terrorisme - sécurité - menace - organisation - victime - lutte - paix - terroriste - attaque,"['blanchiment', 'lutte', 'recommandation', 'métal', 'criminel', 'argent', 'secteur', 'doton', 'contemporaine', 'renforcement']"
2428,2,0.149,1,procédure - peine - code - juge - infraction - locataire - tribunal - justice - acte - crime,"['juge', 'élection', 'réélection', 'tirage', 'parti', 'nomination', 'sort', 'répartition', 'présélection', 'possibilité']"
2468,1,0.391,1,transparence - vote - divergence - surveillance - travail - point - information - négociation - membre - manière,"['recours', 'nomination', 'établissement', 'gouvernance', 'règlement', 'incompatibilité', 'désignation', 'divergence', 'membre', 'compétence']"
2531,18,1,1,recherche - innovation - programme - expérimentation - encouragement - participation - formation - message - chercheur - animal,"['expérimentation', 'animal', 'médicament', 'aspirine', 'recherche', 'test', 'lendemain', 'argent', 'moyen', 'programme']"
2577,1,0.142,1,transparence - vote - divergence - surveillance - travail - point - information - négociation - membre - manière,"['surveillance', 'autorité', 'mélange', 'instance', 'genre', 'pouvoir', 'unification', 'contrôle', 'administration', 'compétence']"
