,ID,IdSubject,PersonNumber,Text,MeetingCouncilAbbreviation,MeetingDate,IdSession,SpeakerFunction,CouncilId,Start,End,Function,LanguageOfText
47,6012,1146,226,"Das Büro hat die Wahl von Herrn Walter Donzé, geboren 1946, von Frutigen und Luzern, in Frutigen, geprüft. Herr Donzé ersetzt unseren Kollegen Otto Zwygart. Herr Donzé ist erster Ersatz der Liste der Evangelischen Volkspartei des Kantons Bern. Er ist Geschäftsführer, Grossrat und Gemeindepräsident. Der Regierungsrat des Kantons Bern hat ihn mit Beschluss vom 5. Juli 2000 als gewählt erklärt. Dieser Beschluss ist im Amtsblatt des Kantons Bern vom 15. Juli veröffentlicht worden. Das Büro hat festgestellt, dass bei Herrn Donzé keine Unvereinbarkeit mit dem Nationalratsmandat besteht. Es beantragt deshalb, die Wahl von Herrn Donzé für gültig zu erklären.
",N,20000918,4604,,1.0,2000-09-18T14:38:48,2000-09-18T14:39:52,b,DE
20,5985,1143,362,"Zunächst kann ich Ihnen die erfreuliche Mitteilung machen, dass wir nur zwei Differenzen zum Ständerat behandeln müssen.
Doch bevor ich Ihnen diese vorstelle, noch eine Bemerkung zur Terminologie im vorliegenden Gesetz: Die Redaktionskommission hat festgestellt, dass die Terminologie in der französischen und in der deutschen Fassung nicht einheitlich ist; vor allen Dingen weicht der deutsche Begriff ""Aufzeichnungen"" vom Doppelbegriff ""enregistrements et documents"" ab. Sie schlägt daher vor, im gesamten Erlass den Oberbegriff ""Informationen"" im abstrakten Sinn - das heisst als Kenntnisnahme oder Weitergabe von Inhalten - zu verwenden. Diese Informationen können als Dokumente im Sinne von transkribierten oder auf Papier festgehaltenen Gesprächen oder Bildern festgehalten werden. Von diesen Dokumenten sind die Datenträger zu unterscheiden. Bei den Datenträgern handelt es sich um Tonbänder oder CD-ROM, auf denen die Fernmeldeübertragung aufgezeichnet wird.
Diese redaktionellen Anpassungen im Gesetz haben keine materiellen Auswirkungen auf die Vorlage.
Zu den zwei Differenzen: Artikel 7 Absatz 3 behandelt die Verwendung von Informationen bei der Überwachung von Berufsgeheimnisträgern. Diese Dokumente müssen nach dem Entscheid unseres Plenums sofort aus den Akten ausgesondert werden und dürfen im Strafverfahren nicht verwendet werden. Der Ständerat möchte diese Dokumente darüber hinaus zudem sofort vernichtet haben.
Die Mehrheit Ihrer Kommission für Rechtsfragen betrachtet diese zusätzlich vorgeschlagene Sicherheitsmassnahme als gerechtfertigt, dies im Bestreben, die Berufsgeheimnisträger bzw. deren Klienten besonders zu schützen. Die Minderheit Ménétrey-Savary möchte nun allerdings noch weiter gehen und auch die entsprechenden Datenträger sofort vernichtet haben.
Die Mehrheit hält dafür, dass die bereits getroffenen Sicherheitsmassnahmen genügen, um die berechtigten Schutzinteressen von Berufsgeheimnisträgern und ihren Klienten zu befriedigen. Die zusätzliche Vernichtung aller Datenträger ist daher nach Meinung der Mehrheit nicht notwendig. Dabei gilt es vor allem zu bedenken, dass auf einem Datenträger zum Beispiel alle Gespräche aufgezeichnet sind, die von einem bestimmten Anschluss aus geführt wurden, also auch die eines Berufsgeheimnisträgers. Wollte man einen Teil dieser Gespräche vernichten, wäre dies mit unverhältnismässig grossem technischem Aufwand verbunden, denn man kann Tonbänder nicht schneiden, genauso wenig, wie man CD-ROM teilweise - nur mit Bezug auf einzelne Gespräche oder Gesprächspassagen - unkenntlich machen kann.
Wenn man zudem beachtet, dass ja hinsichtlich der Überwachung von Berufsgeheimnisträgern gemäss Artikel 3a Absatz 6 bereits besondere Auflagen gemacht wurden und zudem die Genehmigungsbehörde anordnen kann, dass die Datenträger von ihr selber aufbewahrt werden, erscheint der Antrag der Minderheit als nicht gerechtfertigt. Wenn also eine teilweise Löschung von Datenträgern nicht infrage kommt, steht nur noch die vorzeitige Vernichtung des gesamten Datenträgers einschliesslich der zur Verwendung zugelassenen Daten zur Diskussion.
Diese vorzeitige Vernichtung der Datenträger erscheint aber auch aus einem anderen Grund falsch. Es wird im Gerichtsverfahren immer wieder vorgebracht, dass die Transkriptionen den Inhalt der Tonträger nicht genau wiedergäben - dies besonders dann nicht, wenn die abgehörten Gespräche auf Mundart oder in einer Fremdsprache geführt worden sind.
Ein Argument, das im Gerichtsverfahren sowohl zur Belastung wie auch Entlastung einer angeklagten Person führen kann, ist nur überprüfbar, wenn die Tonträger noch als Beweismaterial vorhanden sind und die Richtigkeit der Behauptung nachgewiesen werden kann. Damit erscheint die von der Minderheit zusätzlich verlangte Vernichtung von Datenträgern während des laufenden Verfahrens als unverhältnismässig und sogar falsch.
Dagegen erscheint es sinnvoll, nach rechtskräftigem Abschluss des Verfahrens die noch vorhandenen Datenträger zu vernichten, so wie es Ihnen Ihre Kommission für Rechtsfragen in Artikel 7 Absatz 5 zusätzlich vorschlägt. Von diesem Zeitpunkt an genügen die in den Gerichtsakten für das Urteil wegleitenden Transkriptionen auch bei allfälligen späteren Revisionen.
 Ihre Kommission für Rechtsfragen empfiehlt Ihnen daher mit 15 zu 5 Stimmen bei 1 Enthaltung, bei Artikel 7 Absatz 3 dem Ständerat zu folgen, und mit 19 zu 0 Stimmen, in Absatz 5 die endgültige Vernichtung von Datenträgern auf den Zeitpunkt des abgeschlossenen Verfahrens vorzusehen.
",N,20000918,4604,,1.0,2000-09-18T14:42:17,2000-09-18T14:47:47,*,DE
22,5987,1143,338,"Suite aux décisions du Conseil des Etats du 20 juin dernier, il ne reste plus que deux divergences entre la majorité de la commission et le Conseil des Etats.
Je vous rappelle qu'avant le premier passage de ce texte en plénum, votre commission avait créé une sous-commission qui avait passablement amendé, sur le fond, le projet du Conseil fédéral. Vous aviez admis quasiment toutes les propositions de la commission et le Conseil des Etats en avait fait de même. Les divergences qui vont nous occuper aujourd'hui ont trait, d'une part, à la surveillance des téléphones mobiles à carte à prépaiements, ce qu'on appelle les Natel D easy et à la destruction des documents et/ou des enregistrements, lorsque les raccordements surveillés sont ceux d'une personne soumise au secret professionnel.
J'aborde directement la divergence à l'article 7 alinéa 3. Nous nous trouvons dans le cas de la surveillance d'une personne qui est tenue au secret professionnel et qui peut refuser de témoigner. Dans ce cas, la surveillance est en principe interdite, selon l'article 3 alinéa 3 de la loi, sauf si cette personne est elle-même fortement soupçonnée ou si un suspect utilise le raccordement de celle-ci. Si la surveillance est malgré tout ordonnée, le tri des informations recueillies est exécuté par une autorité judiciaire qui n'est pas saisie du dossier d'enquête. Cela est clairement dit à l'article 3 alinéa 6. Si l'autorité qui fait le tri se trouve en présence d'informations dont il est reconnaissable qu'il s'agit de secrets professionnels, ces informations ou retranscriptions doivent être séparées du dossier. Elles ne peuvent bien sûr pas être utilisées dans le cadre de l'enquête pénale et, selon la version du Conseil des Etats que votre commission ne conteste pas, elles doivent être détruites immédiatement.
La proposition de minorité Ménétrey-Savary va dans le sens d'une destruction immédiate non seulement des retranscriptions faites par l'autorité de tri, mais encore de la base de l'enregistrement, à savoir de la bande magnétique ou du CD - le ""Tonträger"" en allemand. Il est important de savoir que la bande magnétique ou le CD ne sont jamais fournis tels quels au juge chargé de l'enquête. Seules des retranscriptions des informations pertinentes sont jointes au dossier. Mais l'enregistrement de base est conservé, pour le cas où il y aurait des contestations sur le contenu de la retranscription. Il est dès lors nécessaire de conserver l'enregistrement de base, faute de quoi il serait trop facile au suspect de contester en tout état de cause le contenu de la retranscription, s'il sait que l'on ne peut plus en faire la preuve.
C'est pourquoi la majorité de votre commission, par 15 voix contre 5 et avec 1 abstention, vous propose de suivre la version du Conseil fédéral et de rejeter la proposition de minorité tout en admettant, comme nous l'avons ajouté à l'article 7 alinéa 5, que ""les enregistrements restants sont détruits après l'entrée en force de la clôture de la procédure"".
",N,20000918,4604,,1.0,2000-09-18T14:47:47,2000-09-18T14:51:24,*,FR
23,5988,1143,495,"Comme moi, j'en suis persuadée, vous détestez le mensonge et vous ne supporterez pas que la loi ne dise pas la vérité. C'est très mauvais pour la crédibilité des autorités auprès de la population qui, allez savoir pourquoi, s'imagine qu'on lui cache des choses, surtout lorsqu'il s'agit de données recueillies par ces moyens de surveillance. Pour un peu, les gens iraient jusqu'à soupçonner qu'il y a encore des fiches sur d'honnêtes citoyens qui traînent dans les tiroirs de l'Office fédéral de la justice, ce qui naturellement ne serait que pure calomnie. Pourquoi ces soupçons?
L'article 7 alinéa 3 sur les secrets professionnels a subi divers amendements, dans son parcours entre les Chambres, qui ont visé à renforcer la protection contre l'utilisation des données. Le Conseil des Etats a proposé que ces données soient détruites immédiatement, puisqu'elles ne peuvent pas être utilisées. Très bien! Seulement voilà: Au cours du débat au Conseil des Etats, Mme Metzler, conseillère fédérale, a annoncé qu'on pouvait en effet détruire les retranscriptions, mais pas les enregistrements. Donc, on détruit sans détruire. Les explications fournies pour justifier cette espèce de restriction mentale nous ont paru alambiquées et contradictoires. Il y a d'abord un argument technique. Les conversations enregistrées sur des bandes ou des cédéroms le sont avec d'autres qui, elles, peuvent être conservées. Est-ce par souci d'économie? En tout cas, étant donné l'abondance d'informations qu'on peut stocker sur un cédérom, on peut se demander quand on pourra prévoir la destruction du tout, puisque, semble-t-il, on ne peut pas n'en détruire qu'une partie.
Ainsi, des documents qu'on voulait détruire ont peut-être des chances de parvenir aux archives! Pourtant, il nous paraît que ce n'est pas extraordinairement difficile, techniquement, d'effacer une partie d'un enregistrement.
Une deuxième tentative d'explication vient d'être rappelée par les rapporteurs de la majorité: ces enregistrements sont conservés pour pouvoir vérifier les retranscriptions en cas de contestations. Mais alors, on voit mal pourquoi des retranscriptions, dont tout le monde est d'accord pour dire qu'elles doivent être détruites immédiatement, devraient pouvoir faire l'objet de contestations après coup. C'est clair que ce n'est pas clair!
 Si on veut détruire, il faut détruire complètement, les retranscriptions et les enregistrements. Sinon, je continue à penser qu'on trompe le peuple. Et quand on trompe le peuple, ça finit par se retourner contre nous, en vertu de l'adage qu'on peut tromper tout le monde un moment, qu'on peut tromper une personne tout le temps, mais qu'on ne peut pas tromper tout le monde tout le temps!
Je vous demande de soutenir l'amendement de la minorité.
",N,20000918,4604,,1.0,2000-09-18T14:52:48,2000-09-18T14:56:40,,FR
24,5989,1143,304,"Bei Artikel 7 sind zwei Punkte zu regeln:
Bei Absatz 3 bitten wir Sie, mit der Mehrheit für die Fassung des Ständerates zu stimmen und die erforderliche Ergänzung in Form des neuen Absatzes 5 anzunehmen. Es geht in beiden Punkten um die Frage der Abwägung zwischen dem Schutz von Berufsgeheimnissen bzw. dem Persönlichkeits- und Datenschutz einerseits und der Verwendung von Informationen im Strafverfahren andererseits.
Zu regeln ist insbesondere die Vernichtung von Aufzeichnungen und Tonträgern. Unter Aufzeichnung wird hier die Übertragung des gesprochenen Textes in schriftliche Form verstanden. Technisch ist es offenbar mehrheitlich nicht mehr so, dass die Gespräche eines überwachten Anschlusses auf ein einzelnes Tonband aufgenommen werden. Vielmehr werden die Gespräche in digitalisierter Form auf Disketten gespeichert. Oftmals enthalten derartige Disketten dann einerseits für das Strafverfahren notwendige Aufnahmen, andererseits aber auch solche, die für das Strafverfahren nicht notwendig sind - diese Aufnahmen werden in Absatz 1 geregelt -, oder es sind Aufnahmen, die Berufsgeheimnisse enthalten, welche von einem Zeugnisverweigerungsrecht erfasst werden. Das ist in Absatz 3 geregelt.
Solche Disketten können aber auch Aufnahmen enthalten, welche eine Straftat einer Person betreffen, die in der Anordnung zur Telefonüberwachung keiner Straftat verdächtigt worden ist und bei denen die Voraussetzungen einer Überwachung nicht erfüllt sind (Abs. 4).
In diesen genannten Fällen, mit Ausnahme des erstgenannten, müssen die schriftlichen Aufzeichnungen der entsprechenden Gespräche gemäss den einzelnen Regelungen von Artikel 7 umgehend vernichtet werden, da ihre Rechtmässigkeit erkannterweise nicht mehr vorliegt.
Die Minderheit der Kommission fordert in ihrem Antrag, dass zusätzlich auch die entsprechenden Tonträger sofort zu vernichten seien. Die Kommissionsmehrheit hingegen will die Vernichtung der Tonträger generell für alle aufgeführten Fälle regeln, die in einem Gerichtsverfahren Verwendung finden. Diese sollen unmittelbar nach rechtskräftigem Abschluss des Verfahrens vernichtet werden. Bis dahin sollen sie für das Verfahren zur Verfügung stehen, weil es dem Richter und den Parteien bei der Ermittlung der Wahrheit dienen kann, wenn die Gespräche im Originalton und im Originalwortlaut gehört werden können und nicht nur als schriftliche Aufzeichnungen - zum Beispiel als Transkription der Mundart und dabei allenfalls auch nur selektiv - zur Verfügung stehen. Es ist aber aus Gründen der Beweistauglichkeit nicht möglich, andere Passagen, die für das Verfahren keine Bedeutung haben, auf dem Tonträger zu löschen. Abgesehen von den technischen Problemen, dies exakt zu tun und  nichts Falsches zu löschen - es sollen nicht noch extra Sicherheitskopien angefertigt werden müssen -, ergibt sich folgendes Problem: In solchen Fällen wäre die Registrierungsperiode nicht mehr vollständig erfasst, und es könnte geltend gemacht werden, gerade ein den Verdächtigen entlastendes Telefongespräch sei vom Tonträger gelöscht worden.
Die Lösung der Kommissionsmehrheit scheint mir daher gerechtfertigt. Die unzulässigen schriftlichen Aufzeichnungen werden sofort vernichtet. Die Tonträger mit den verfahrensrelevanten Aufnahmen aber befinden sich in der Obhut des Gerichtes und werden nach rechtskräftigem Abschluss des Verfahrens sofort vernichtet. Wir schaffen mit dieser Lösung ein ausgewogenes Verhältnis zwischen den Interessen der Verfahrensbeteiligten einerseits und dem Schutz der Persönlichkeit andererseits.
Ich bitte Sie daher, der Mehrheit zuzustimmen.
",N,20000918,4604,,1.0,2000-09-18T14:56:40,2000-09-18T15:01:42,,DE
25,5990,1143,362,"Nur eine Bemerkung dazu: Wir sind uns im Grundsatz einig, Frau Ménétrey-Savary, wir wollen die Datenträger vernichten. Uneinig sind wir über den Zeitpunkt. Der Zeitpunkt, den Sie anstreben, ist der falsche. Warum? Weil dann das Urteil noch nicht rechtskräftig geworden ist. Darum müssen die Datenträger aufbewahrt werden. Wenn nicht, können Sie aus Beweisgründen kein nochmaliges Abspielen verfügen. Wenn diese Aussagen, die transkribiert worden sind, strittig gemacht werden, muss dann gemäss dem Grundsatz ""in dubio pro reo"" in jedem Fall zugunsten der beklagten Person entschieden werden. Das liegt auch nicht in Ihrem Interesse.
Darum bitte ich Sie im Namen der Mehrheit: Stimmen Sie bei Absatz 3 und dann auch bei Absatz 5 für die Mehrheit.
",N,20000918,4604,,1.0,2000-09-18T15:01:42,2000-09-18T15:02:45,*,DE
26,5991,1143,804,"Die Regel für den Normalfall in Absatz 1 ist wenig verändert aus dem Bundesstrafprozessrecht übernommen worden. In der bisherigen Praxis wurde bei nichtnotwendigen Aufzeichnungen, z. B. bei Gesprächen von Familienangehörigen, nur das Papier separat abgelegt und später vernichtet. Die Datenträger wurden entweder beim Dienst gelöscht oder der Auftrag gebenden Behörde übergeben.
Die Minderheit fordert nun, dass auch die Aufzeichnungen auf den Datenträgern vernichtet werden. Das bedingt, dass Teile der Datenträger gelöscht oder dass die für das Verfahren relevanten Gespräche auf einen anderen Datenträger überspielt werden. Das wäre einerseits ein grosser Aufwand, andererseits würde die Verteidigung möglicherweise geltend machen, die Datenträger seien manipuliert und entlastende Momente eliminiert worden. Solche Beweisprobleme können das Verfahren gefährden, weshalb ich Sie bitte, bei Absatz 3 der Mehrheit zu folgen.
Ohne Vorbehalte unterstützen kann ich die ergänzende Regel für die Datenträger, die gemäss dem neuen Absatz 5 nach rechtskräftigem Abschluss des Verfahrens vernichtet werden müssen.
",N,20000918,4604,BR-F,99.0,2000-09-18T15:02:45,2000-09-18T15:04:23,,DE
28,5993,1143,488,"Namens einer Minderheit Ihrer Kommission für Rechtsfragen beantrage ich Ihnen die Einführung eines Absatzes 4bis zu Artikel 13 gemäss dem Beschluss des Ständerates und gemäss einem Anliegen des Bundesamtes für Justiz.
Dieser Antrag will Folgendes erreichen: Wer mit der Polizei spricht oder selber mit Strafrecht zu tun hat, weiss, dass heute fast bei jedem Einbruchdiebstahl, im Bereich der Betäubungsmitteldelikte wie auch beim organisierten Verbrechen Handys im Spiel sind und eine wichtige Rolle bei der Verübung dieser Delikte spielen. Es ist klar, dass sich die Kriminellen die Errungenschaften der Technik zunutze machen. Ebenso klar ist, dass der Verbrecher nicht hingeht und schön brav ein Abonnement bei einem Anbieter löst, sich registrieren oder seine Natelnummer im Telefonbuch publizieren lässt. Vielmehr operiert man heute mit so genannten Prepaid-Karten, z. B. mit der Natel-D-easy-Karte. Sie wissen: Man kauft sich diese Karte und damit die eigene Rufnummer per vorausbezahlten Geldbetrag und kann so Minuten nach dem Erwerb loslegen. Verschiedene Tätergruppen nutzen diese einfache Technik zum Kommunizieren systematisch und entkommen einer Überwachung. Den Strafverfolgungsbehörden fehlt damit ein wichtiges Instrument zur Verbrechensbekämpfung.
Mit Absatz 4bis verpflichten wir die Anbieterinnen, auch im Bereich der Prepaid-Mobiltelefonie, Daten zu registrieren und den Strafverfolgungsbehörden gegebenenfalls zur Verfügung zu stellen. Wir können so eine Lücke im Gesetz schliessen. Das ist für die Anbieterinnen natürlich mit Aufwand verbunden. Angesichts des volkswirtschaftlichen Schadens durch die erwähnten Delikte und des Nutzens für die Bekämpfung der Kriminalität erachte ich diesen Aufwand aber als vertretbar und verhältnismässig.
Absatz 4bis lässt offen, wie die Anbieterinnen bei der Registrierung dieser Daten vorgehen; angesichts der technischen Möglichkeiten stehen viele Wege offen. Die Datenerfassung ist zudem auf zwei Jahre befristet. Wenn wir nicht wollen, dass die Kriminellen der Polizei immer eine Nasenlänge voraus sind, müssen wir den Strafverfolgungsbehörden auch die notwendigen Instrumente zur Verfügung stellen. Mit Absatz 4bis können wir inskünftig sicher nicht jedes Delikt aufklären; es sind auch keine Wunder zu erwarten, und selbstverständlich wird die Kriminalität auch wieder neue Wege der Kommunikation suchen und finden. Auf jeden Fall aber kommen wir bei der Verbrechensbekämpfung einen Schritt weiter, und das zählt.
Die Identifizierung im Bereich der Prepaid-Karten ist daher ein geeignetes Mittel, rechtsstaatlich vertretbar und verhältnismässig, weshalb ich Sie bitte, dem Antrag der Minderheit der Kommission für Rechtsfragen zuzustimmen.
",N,20000918,4604,,1.0,2000-09-18T15:07:24,2000-09-18T15:11:15,,DE
29,5994,1143,304,"Der Ständerat hat einen Vorschlag des Generalsekretariates EJPD in das Gesetz aufgenommen, nach welchem Telekommunikationsunternehmen Daten zur Identifikation von Personen liefern müssten, die Mobiltelefone mit vorausbezahlten Karten benützen. Die SVP-Fraktion, die nicht im Rufe steht, besonders kriminalverfolgungsfeindlich zu sein, ist der Auffassung, dass diese Lösung weder zweckmässig noch verhältnismässig ist und dass dieser Artikel ersatzlos gestrichen werden muss. Zweckmässig im Einsatz gegen das Verbrechen wäre eine Identifikationspflicht für Prepaid-Kunden nur dann, wenn Täter sich tatsächlich auch registrieren lassen würden und wenn es keine Wege mehr geben würde, nicht identifiziert zu telefonieren. An das erste kann ich nicht glauben - solche Personen werden sich nicht registrieren lassen -, und dass jemand telefonieren kann, ohne registriert zu sein, ist auf vielfache Art sehr einfach möglich:
1. Sie können die Telefonkabine wählen, welche ihnen weit gehende Anonymität gewährt.
2. Man kann sich mit einer ausländischen Prepaid-Karte behelfen und höhere Taxen für das Weiterleiten der Gespräche - die so genannten Roaming-Gebühren - in Kauf nehmen. Für Drogendealer spielen diese erhöhten Unkosten wohl keine grosse Rolle.
3. Man kann sich eines gestohlenen Telefons bedienen.
4. Man kann das Telefon mit einer von einer Drittperson registrierten Prepaid-Karte benutzen.
Man ist somit kaum in der Lage, mit der vorgeschlagenen Lösung das Ziel, eine verbesserte Verbrechensbekämpfung, zu erreichen; sie ist also nicht zweckmässig.
Die Registrierung der Identität der Prepaid-Kundschaft bedeutet für die Verkäuferschaft von Prepaid-Produkten eine ganz gewaltige administrative Mehrbelastung. Ein Grossteil des heute eingeführten Vertriebsnetzes wie Kioske, Tankstellen, Automaten, Poststellen, Fachhandel usw. wäre kaum mehr in der Lage, Prepaid-Produkte zu verkaufen. Wenn die Erwerber nämlich registriert werden müssten, dann muss es richtig und vollständig geschehen. Dazu sind bei vielen heutigen Verkaufsorten weder die räumlichen Verhältnisse noch die zur Verfügung stehenden Zeitverhältnisse ausreichend. Ausserdem wären an das Personal des Verkaufspunktes spezielle Anforderungen zu stellen, die möglicherweise bisher nicht erfüllt werden könnten. Der Bezug über Automaten müsste gar ganz ausgeschlossen werden.
Daraus muss abgeleitet werden, dass die aus der Identifikationspflicht entstehenden Belastungen zu einer beachtlichen Umsatzreduktion führen müssten. Die daraus resultierende Produktverteuerung wäre von den Konsumenten zu tragen. Dies alles, weil vielen hunderttausend Telefonbenützern wegen ein paar wenigen missbräuchlichen Anwendern die Möglichkeit verbaut werden soll, aus berechtigten Gründen mit einer anonymen Prepaid-Karte zu telefonieren. Niemand wird daher behaupten wollen, der Grundsatz der Verhältnismässigkeit sei mit der vorgeschlagenen Massnahme auch nur einigermassen gewahrt.
Weil, wie dargelegt worden ist, jede Identifikationspflicht weder zweckmässig noch verhältnismässig ist, ist sie abzulehnen, und Artikel 13 Absatz 4bis ist ersatzlos zu streichen.
",N,20000918,4604,,1.0,2000-09-18T15:11:15,2000-09-18T15:16:17,,DE
30,5995,1143,70,"Les libéraux n'ont pas tellement l'habitude d'aimer les exigences étatiques qui donnent plus de travail et plus de charges aux particuliers, aux prestataires de services, aux commerçants. Mais il faut savoir ce que l'on veut. Or, cette loi est une loi qui cherche à trouver un équilibre entre le respect de la liberté et la possibilité pour les autorités policières, de justice, de prévenir le crime et de surveiller les criminels et les délinquants. C'est la première fonction de l'Etat, fonction à laquelle les libéraux sont évidemment attachés.
Madame la Conseillère fédérale, le groupe libéral doit vous dire qu'en relisant la loi, il a regretté de ne s'être pas davantage engagé, avant que l'on soit dans la procédure d'élimination des divergences, pour qu'à l'article 1er alinéa 1er lettre b, ce qui était proposé par le Conseil fédéral - soit prévenir un acte punissable - ne soit pas maintenu. Nous pensons, réflexion faite, que le Conseil fédéral avait raison et que les deux Chambres du Parlement, en biffant la lettre b, ont eu tort.
Avec la proposition de minorité Leuthard à l'article 13 alinéa 4bis, nous rejoignons la préoccupation de la prévention. L'idée que cela serait trop compliqué à cause des cartes de paiement étrangères n'est pas suffisante, Monsieur Baumann. Il faut véritablement couvrir le plus possible le champ qui est imaginable pour essayer de retrouver les délinquants et les criminels. Après avoir entendu notre président parler tout à l'heure de la lutte contre le crime et les extrémismes, nous sommes d'autant plus à l'aise pour vous dire qu'il ne faut pas trop affaiblir l'aspect prévention, l'aspect qui  consiste à donner des armes à l'autorité pour lutter contre le crime organisé avec tous ses moyens financiers.
C'est la raison pour laquelle le groupe libéral soutiendra la proposition de minorité Leuthard.
",N,20000918,4604,,1.0,2000-09-18T15:16:17,2000-09-18T15:18:41,,FR
